Subm_ID   	|_.Score  |_.Sigma_s |_.Detection_image  |_.Modeling_window |_.Chi2|_.Penalty_term |_.Object_filtering |_.PSF sampling step |_.PSF interpolation kernel |_.Size of the PSF model [in PSF 'pixels'] |_.Notes |_.Subm_Number |
A_SP_6.3   |  708.9|  1.0 | Yes 	| Fixed		| Regular		  | None 		  | Excluding the 20 obj. in each galaxy catalog with the highest CHI2_MODEL value   | 	0.6 |  Lanczos4  | 91x91  | - | 64 |
A_SP_6.7   |  367.3| 1.0 | Yes 	| Fixed		| Regular		  | None 		  | Excluding the 20 obj. in each galaxy catalog with the highest CHI2_MODEL value and the objects with abs(rho) > 0.9  |	0.6 |  Lanczos4  | 91x91 | - | 68 |
A_SP_7.1   |  629.5|  1.0 | Yes 	| Free with upper limit		| Regular		  | None 		  | Excluding the 20 obj. in each galaxy catalog with the highest CHI2_MODEL value  | 	0.6 |  Lanczos4  | 91x91 | SExtractor compiled with the '-fp-model precise' option | 72 |
A_SP_7.5   |  425.2|  1.0 | Yes 	| Free with upper limit		| Regular		  | None 		  | Excluding the 20 obj. in each galaxy catalog with the highest CHI2_MODEL value  | 	0.3 |  Lanczos4  | 91x91 |- | 76 |
A_SP_7.9   |  802.3|  1.0 | Yes 	|Free with upper limit  | Regular		| None 		  | Excluding the 20 obj. in each galaxy catalog with the highest CHI2_MODEL value   | 	0.6 |  Lanczos4  | 91x91  |  - | 80 |
A_SP_8.2   |  392.9|  1.0 | Yes 	| Free with upper limit	| Modified				  | None 		  | Excluding the 20 obj. in each galaxy catalog with the highest CHI2_MODEL value  | 	0.6 |  Lanczos4  | 91x91 | - | 83 |
A_SP_8.3   |  432.4|  1.0 | Yes 	|Free with upper limit		| Regular	  | None 		  | Excluding the 20 obj. in each galaxy catalog with the highest CHI2_MODEL value   | 	0.6 |  Lanczos4  | 91x91  | Lower threshold on galaxy weights    | 84 |
A_SP_9.0   |  233.2|    1.0 | Yes 	| Free with upper limit	 	| Regular	  | None 		  | Excluding the 20 obj. in each galaxy catalog with the highest CHI2_MODEL value   | 	0.6 |  Lanczos4  | 91x91 | Different detection settings  | 91 |
A_SP_9.4   |  770.6|  0.25 | Yes 	| Free with upper limit	 	| Regular	  | None 		  | Excluding the 20 obj. in each galaxy catalog with the highest CHI2_MODEL value   | 	0.6 |  Lanczos4  | 91x91  | - | 94 |
A_SP_10.0   |  217.8| 0.25 |  Yes 	|Free with upper limit 	| Regular	  |  Sersic Index 	|  None   | 	0.6 |  Lanczos4  | 91x91  | LevMar step set to $10^{-5}$ | 100 |
A_SP_10.1   |  126.1|  0.25 |  Yes 	| Free with upper limit 	| Regular	 |  Aspect ratio 	|  None |  	0.6 |  Lanczos5  | 91x91  | LevMar step set to $10^{-5}$    | 101 |
A_SP_10.2   |  1121.0 | 1.0 |  Yes 	| Free with upper limit	 	| Regular	  |  Aspect ratio 	|  None |  	0.6 |  Lanczos5  | 91x91 | LevMar step set to $10^{-5}$  | 102 |
A_SP_10.8   |  298.3|  1.0 |  Yes 	|Free with upper limit 	| Regular	 |  Aspect ratio 	|  None |  	0.6 |  Lanczos5  | 91x91 | -  | 108 |
A_SP_11.2   |  907.8| 0.5 |  Yes 	| Free with upper limit			| Regular	   |  Aspect ratio 	|  None |  	0.6 |  Lanczos5  | 91x91 | - | 112 |
A_SP_11.6   |  883.0|  0.5 |  Yes 	| Free with upper limit	 	| Regular	  |  Aspect ratio 	|  None |  	0.6 |  Lanczos5  | 91x91 | Extra PSF padding | 116 |
A_SP_11.9   |  298.0| 0.5 |  Yes 	|Free with upper limit  	| Regular	 |  Aspect ratio (sigma_{theta_{aspect}}=0.7)	|  None |  	0.6 |  Lanczos5  | 91x91 | -| 119 |
A_SP_12.5   |  849.2| 10. |  Yes 	| Free with upper limit	  	| Regular	 |  Aspect ratio 	|  None |  	0.6 |  Lanczos5  | 91x91 | -   | 125 |
A_SP_12.6   |  148.6|  0.5 |  No 	|Free with upper limit	 	| Regular	  |  Aspect ratio 	|  None |  	0.6 |  Lanczos5  | 91x91 | -  | 126 |
A_SP_13.1   |  652.9|  0.4|  Yes 	| Free with upper limit 	| Regular	  |  Aspect ratio 	|  None |  	0.6 |  Lanczos5  | 91x91 |  - |   131 |
A_SP_13.2   |  1073.4| 0.9 |  Yes 	| Free with upper limit  	| Regular	 	  |  Aspect ratio 	|  None |  	0.6 |  Lanczos5  | 91x91 | - | 132 |
A_SP_13.3   |  1104.3|1.1   |  Yes 	| Free with upper limit  	| Regular	  |  Aspect ratio 	| Excluding the 20 obj. in each galaxy catalog with the highest CHI2_MODEL value |  	0.6 |  Lanczos5  | 91x91 | -| 133 |
A_SP_13.6   |  1099.3| 1.0 |  Yes 	| Free with upper limit   | Regular	 |  Aspect ratio 	| Excluding the 20 obj. in each galaxy catalog with the highest CHI2_MODEL value |  	0.6 |  Lanczos5  | 91x91  | - |136 |
